timestamp_utc,port,pid,cpu_pct,mem_pct,rss_kb,vsz_kb,etimes_sec,threads,state,cmd
2026-03-31T15:30:32Z,8082,358109,0.00,18.7,172328,2331388,6376,29,S," 29 S java -jar target/SpringSOAP-0.0.1-SNAPSHOT.jar --server.port=8082"
2026-03-31T15:30:33Z,8082,358109,2.88,18.7,172328,2331388,6377,29,S," 29 S java -jar target/SpringSOAP-0.0.1-SNAPSHOT.jar --server.port=8082"
2026-03-31T15:30:34Z,8082,358109,1.94,18.7,172328,2331388,6378,29,S," 29 S java -jar target/SpringSOAP-0.0.1-SNAPSHOT.jar --server.port=8082"
2026-03-31T15:30:36Z,8082,358109,1.90,18.7,172328,2331388,6379,29,S," 29 S java -jar target/SpringSOAP-0.0.1-SNAPSHOT.jar --server.port=8082"
2026-03-31T15:30:37Z,8082,358109,6.80,18.7,172328,2331388,6380,29,S," 29 S java -jar target/SpringSOAP-0.0.1-SNAPSHOT.jar --server.port=8082"
2026-03-31T15:30:38Z,8082,358109,21.30,18.7,172328,2331388,6381,29,S," 29 S java -jar target/SpringSOAP-0.0.1-SNAPSHOT.jar --server.port=8082"
2026-03-31T15:30:39Z,8082,358109,8.74,18.7,172456,2331388,6382,29,S," 29 S java -jar target/SpringSOAP-0.0.1-SNAPSHOT.jar --server.port=8082"
2026-03-31T15:30:40Z,8082,358109,7.69,18.7,172456,2331388,6383,29,S," 29 S java -jar target/SpringSOAP-0.0.1-SNAPSHOT.jar --server.port=8082"
2026-03-31T15:30:41Z,8082,358109,5.83,18.7,172456,2331388,6384,29,S," 29 S java -jar target/SpringSOAP-0.0.1-SNAPSHOT.jar --server.port=8082"
2026-03-31T15:30:42Z,8082,358109,9.62,18.7,172456,2331388,6385,29,S," 29 S java -jar target/SpringSOAP-0.0.1-SNAPSHOT.jar --server.port=8082"
2026-03-31T15:30:43Z,8082,358109,9.62,18.7,172456,2331388,6387,29,S," 29 S java -jar target/SpringSOAP-0.0.1-SNAPSHOT.jar --server.port=8082"
2026-03-31T15:30:44Z,8082,358109,10.48,18.7,172456,2331388,6388,29,S," 29 S java -jar target/SpringSOAP-0.0.1-SNAPSHOT.jar --server.port=8082"
2026-03-31T15:30:45Z,8082,358109,19.05,18.7,172456,2331388,6389,29,S," 29 S java -jar target/SpringSOAP-0.0.1-SNAPSHOT.jar --server.port=8082"
2026-03-31T15:30:46Z,8082,358109,17.31,18.7,172584,2331388,6390,29,S," 29 S java -jar target/SpringSOAP-0.0.1-SNAPSHOT.jar --server.port=8082"
2026-03-31T15:30:47Z,8082,358109,24.76,18.7,172712,2331388,6391,31,S," 31 S java -jar target/SpringSOAP-0.0.1-SNAPSHOT.jar --server.port=8082"
2026-03-31T15:30:48Z,8082,358109,42.45,18.7,172840,2331388,6392,31,S," 31 S java -jar target/SpringSOAP-0.0.1-SNAPSHOT.jar --server.port=8082"
2026-03-31T15:30:49Z,8082,358109,34.91,18.7,172968,2332416,6393,32,S," 32 S java -jar target/SpringSOAP-0.0.1-SNAPSHOT.jar --server.port=8082"
2026-03-31T15:30:50Z,8082,358109,32.38,18.8,173096,2332416,6394,32,S," 32 S java -jar target/SpringSOAP-0.0.1-SNAPSHOT.jar --server.port=8082"
2026-03-31T15:30:51Z,8082,358109,31.78,18.8,173480,2336528,6395,36,S," 36 S java -jar target/SpringSOAP-0.0.1-SNAPSHOT.jar --server.port=8082"
